Alpha_Node,Total_Support
GSTA1,-672
GSTA2,-672
GSTA3,-672
GSTA4,-672
GSTA5,-672
GSTM1,-672
GSTM2,-672
GSTM3,-672
GSTM4,-672
GSTM5,-672
GSTO1,-672
GSTO2,-672
GSTP1,-672
GSTT1,-672
GSTT2,-672
GSTT2B,-672
MGST1,-672
MGST2,-672
MGST3,-672
NPPC,-672
NQO1,-672
PLAT,-672
SQSTM1,-672
TXN,-672
TXN2,-672
KLF4,-670
SOX2,-668
KMT2A,-670
KMT2D,-670
LEF1,-616
BIRC5,-670
AXIN1,-670
AXIN2,-670
NKD1,-670
SNAI2,-670
MAFA,-676
MAFB,-670
MAML1,-652
HES2,-670
HES3,-670
HES4,-670
HES6,-670
HES7,-670
MAML2,-652
MAML3,-652
MAPK1,-726
IL18,-670
PLAU,-670
PLAUR,-670
JMJD7-PLA2G4B,-670
PLA2G4A,-670
PLA2G4B,-670
PLA2G4C,-670
PLA2G4D,-670
PLA2G4E,-670
PLA2G4F,-670
MAPK10,-674
MAPK11,-676
IRF4,-670
MAPK12,-676
MAPK13,-676
MAPK14,-676
MAPK3,-726
MAPK7,-720
MAPK8,-674
MAPK9,-674
MAX,-670
CDK6,-670
CKS1B,-670
CKS2,-670
MDM2,-670
SOST,-670
MEN1,-670
DCT,-672
TYR,-672
TYRP1,-672
MLX,-670
ACACB,-670
MLXIP,-670
MLXIPL,-670
MTOR,-670
TERT,-670
TFAP4,-670
GLS,-670
GLS2,-670
SLC1A5,-670
MYD88,-676
NACA,-664
NANOG,-666
POU5F1,-670
POU5F1B,-670
NCOA1,-618
NCOA2,-662
NCOA3,-618
NEUROD1,-670
GCK,-670
IAPP,-670
NEUROG3,-664
NKX2-2,-670
PAX4,-670
PAX6,-676
MYH7,-670
NPPB,-670
TRPC6,-670
F2R,-670
IL17A,-672
IL17F,-672
IL21,-672
IL22,-672
RCAN1,-670
RGS2,-670
NFATC2,-660
NFATC3,-660
NFATC4,-674
NFE2L2,-664
TXNRD1,-670
TXNRD2,-670
TXNRD3,-670
BCL2L1,-670
TRAF1,-670
TRAF2,-670
TRAF3,-670
TRAF4,-670
TRAF5,-670
TRAF6,-670
AMH,-670
BCL2A1,-670
CFLAR,-670
NFKBIA,-670
MYB,-670
PTPN13,-670
BIRC7,-670
BIRC8,-670
CEBPB,-670
CEBPG,-670
IL15RA,-670
LTA,-670
CCL13,-672
CCL19,-672
CCL21,-672
CXCL12,-672
TNFSF13B,-672
NFX1,-606
NOTCH1,-668
NOTCH2,-668
NOTCH3,-668
NOTCH4,-668
NFYA,-670
NFYB,-670
NFYC,-670
FLT4,-670
NPAS2,-670
NR0B2,-670
CYP7A1,-670
SLC10A1,-670
SLCO1A2,-670
SLCO1B1,-670
SLCO1B3,-670
SLCO1B7,-670
NR1H3,-626
SREBF1,-670
NR1H4,-648
ABCB11,-670
ABCB4,-670
ABCC2,-670
SLC51A,-670
SLC51B,-670
NR3C2,-640
ATP1A1,-670
ATP1A2,-670
ATP1A3,-670
ATP1A4,-670
ATP1B1,-670
ATP1B2,-670
ATP1B3,-670
ATP1B4,-670
FXYD2,-670
FXYD4,-670
KRAS,-670
SCNN1A,-670
SCNN1B,-670
SCNN1G,-670
SGK1,-670
NR4A1,-670
NR4A2,-670
FGF23,-670
NR5A1,-670
ONECUT1,-654
HNF1B,-670
PAX8,-670
PBX1,-670
NKX6-1,-670
NR5A2,-670
PGAM5,-668
DNM1L,-670
PIAS1,-670
PIAS2,-670
PIAS3,-670
PIAS4,-670
PIK3CA,-654
RCAN2,-670
PIK3CB,-654
PIK3CD,-654
PIK3R1,-654
PIK3R2,-654
PIK3R3,-654
CEBPE,-670
ZBTB16,-670
PPARA,-634
ACAA1,-670
ACADM,-670
ACOX1,-670
ACOX2,-670
ACOX3,-670
ACSL1,-670
ACSL3,-670
ACSL4,-670
ACSL5,-670
ACSL6,-670
ANGPTL4,-670
APOA1,-670
APOA2,-670
APOA5,-670
APOC3,-670
CPT2,-670
CYP4A11,-670
CYP4A22,-670
CYP8B1,-670
DBI,-670
EHHADH,-670
FABP1,-670
FADS2,-670
HMGCS2,-670
LPL,-670
ME1,-670
PLTP,-670
SCD,-670
SCD5,-670
SCP2,-670
SLC27A1,-670
SLC27A4,-670
ACSBG1,-670
ACSBG2,-670
ACADL,-670
FABP3,-670
ILK,-670
PDPK1,-670
UBC,-670
PPARG,-660
ADIPOQ,-670
AQP7,-670
CD36,-670
CYP27A1,-670
FABP4,-670
GK,-670
GK2,-670
OLR1,-670
PLIN1,-670
SORBS1,-670
PLIN2,-670
PLIN4,-670
PLIN5,-670
SLC2A4,-672
NRF1,-672
TFAM,-672
PRKAA1,-658
SPHK1,-670
SPHK2,-670
PRKAA2,-658
PRKAB1,-658
PRKAB2,-658
PRKACA,-668
EHMT1,-670
EHMT2,-670
AKR1C3,-670
CYP19A1,-670
HSD17B1,-670
HSD17B2,-670
HSD17B7,-670
HSD3B1,-670
HSD3B2,-670
PRKACB,-668
PRKACG,-668
PRKAG1,-658
PRKAG2,-658
PRKAG3,-658
PRKCQ,-672
PSEN1,-606
FOXP3,-670
DUSP6,-670
RBBP5,-670
RBL1,-624
RBPJ,-602
PTCRA,-670
CR2,-670
RUNX3,-670
RBPJL,-602
RELB,-674
RFX5,-670
RFXANK,-670
RFXAP,-670
RPS6,-670
RPS6KA5,-624
RUNX1,-670
CSF1R,-670
RUNX1T1,-670
RUNX2,-668
MMP13,-670
RXRA,-622
RXRB,-670
RXRG,-670
SIRT1,-658
SMAD1,-670
ID1,-670
ID2,-670
ID3,-670
ID4,-670
DUSP9,-670
SMAD2,-608
PITX2,-670
ACTA2,-670
CDH1,-670
CTGF,-670
SMAD7,-670
IL23R,-670
COL1A1,-670
COL1A2,-670
COL3A1,-670
COL4A1,-670
COL4A2,-670
COL4A3,-670
COL4A4,-670
COL4A5,-670
COL4A6,-670
SMAD3,-608
SMAD4,-626
SMAD5,-670
SMAD9,-670
SOS1,-616
SPRED1,-670
SPRED2,-670
SPRY1,-670
SPRY2,-670
SPRY3,-670
SPRY4,-670
SOS2,-616
SOX9,-670
SP1,-620
SPI1,-648
CSF2RA,-670
CD14,-670
FCGR1A,-670
ITGAM,-670
ACACA,-670
FASN,-670
SRF,-658
STAT1,-624
PIM1,-670
SOCS1,-670
SOCS2,-670
SOCS4,-670
SOCS5,-670
SOCS7,-670
RIPK1,-670
AOX1,-670
CISH,-670
GFAP,-670
SOCS6,-670
CSN2,-670
ELF5,-670
LHCGR,-670
PRLR,-670
TH,-670
IRGM,-670
OASL,-670
STAT2,-618
STAT3,-618
PIM2,-670
MIR21,-670
STAT4,-636
STAT5A,-612
STAT5B,-612
STAT6,-614
TBX3,-670
TCF3,-664
ESRRB,-670
BAX,-670
LCK,-670
POLB,-670
TCF7,-616
TCF7L1,-616
TCF7L2,-616
TEAD1,-628
TEAD2,-628
TEAD3,-628
TEAD4,-628
TFDP1,-624
TFDP2,-624
THRA,-690
ATP2A2,-670
MYH6,-670
PLN,-670
THRB,-636
TICAM1,-672
TLR2,-668
PDCD4,-670
TLR4,-668
BAI1,-670
CCNG1,-670
CD82,-670
DDB2,-670
EI24,-670
GTSE1,-670
IGFBP3,-670
PERP,-670
PMAIP1,-670
PPM1D,-670
PTEN,-670
RCHY1,-670
RFWD2,-670
RPRM,-670
RRM2,-670
RRM2B,-670
SERPINB5,-670
SESN1,-670
SESN2,-670
SESN3,-670
SFN,-670
SHISA5,-670
SIAH1,-670
STEAP3,-670
TNFRSF10B,-670
TP53I3,-670
TP73,-670
TSC2,-670
ZMAT3,-670
BAK1,-670
ADGRB1,-670
AIFM2,-670
COP1,-670
PIDD1,-670
SIVA1,-670
APAF1,-670
BID,-670
TNFRSF10A,-670
SAT1,-670
SAT2,-670
SLC7A11,-670
POLK,-670
TTF1,-670
TTF2,-670
TWIST1,-666
MIR10A,-670
MIR10B,-670
TWIST2,-666
U2AF1,-670
U2AF1L4,-670
U2AF1L5,-670
VDR,-656
S100G,-670
SLC34A2,-670
TRPV6,-670
